Verse,First Letter,Last Letter,Swara After Last,Chapter,Verse Number,Cumulative Number
ततोऽस्य प्रह्लाद: समजनि सुतो गर्भवसतौमुनेर्वीणापाणेरधिगतभवद्भक्तिमहिमा ।स वै जात्या दैत्य: शिशुरपि समेत्य त्वयि रतिंगतस्त्वद्भक्तानां वरद परमोदाहरणताम् ॥४॥,त,त,आ,24,4,247
सुरारीणां हास्यं तव चरणदास्यं निजसुतेस दृष्ट्वा दुष्टात्मा गुरुभिरशिशिक्षच्चिरममुम् ।गुरुप्रोक्तं चासाविदमिदमभद्राय दृढमि-त्यपाकुर्वन् सर्वं तव चरणभक्त्यैव ववृधे ॥ ५ ॥,स,ध,ए,24,5,248
अधीतेषु श्रेष्ठं किमिति परिपृष्टेऽथ तनयेभवद्भक्तिं वर्यामभिगदति पर्याकुलधृति: ।गुरुभ्यो रोषित्वा सहजमतिरस्येत्यभिविदन्वधोपायानस्मिन् व्यतनुत भवत्पादशरणे ॥६॥,अ,ण,ए,24,6,249
स शूलैराविद्ध: सुबहु मथितो दिग्गजगणै-र्महासर्पैर्दष्टोऽप्यनशनगराहारविधुत: ।गिरीन्द्रवक्षिप्तोऽप्यहह! परमात्मन्नयि विभोत्वयि न्यस्तात्मत्वात् किमपि न निपीडामभजत ॥७॥,स,त,अ,24,7,250
तत: शङ्काविष्ट: स पुनरतिदुष्टोऽस्य जनकोगुरूक्त्या तद्गेहे किल वरुणपाशैस्तमरुणत् ।गुरोश्चासान्निध्ये स पुनरनुगान् दैत्यतनयान्भवद्भक्तेस्तत्त्वं परममपि विज्ञानमशिषत् ॥८॥,त,ष,अ,24,8,251
पिता शृण्वन् बालप्रकरमखिलं त्वत्स्तुतिपरंरुषान्ध: प्राहैनं कुलहतक कस्ते बलमिति ।बलं मे वैकुण्ठस्तव च जगतां चापि स बलंस एव त्रैलोक्यं सकलमिति धीरोऽयमगदीत् ॥९॥,प,द,ई,24,9,252
अरे क्वासौ क्वासौ सकलजगदात्मा हरिरितिप्रभिन्ते स्म स्तंभं चलितकरवालो दितिसुत: ।अत: पश्चाद्विष्णो न हि वदितुमीशोऽस्मि सहसाकृपात्मन् विश्वात्मन् पवनपुरवासिन् मृडय माम् ॥१०॥,अ,म,आ,24,10,253
स्तंभे घट्टयतो हिरण्यकशिपो: कर्णौ समाचूर्णय-न्नाघूर्णज्जगदण्डकुण्डकुहरो घोरस्तवाभूद्रव: ।श्रुत्वा यं किल दैत्यराजहृदये पूर्वं कदाप्यश्रुतंकम्प: कश्चन संपपात चलितोऽप्यम्भोजभूर्विष्टरात् ॥१॥,स,र,आ,25,1,254
दैत्ये दिक्षु विसृष्टचक्षुषि महासंरम्भिणि स्तम्भत:सम्भूतं न मृगात्मकं न मनुजाकारं वपुस्ते विभो ।किं किं भीषणमेतदद्भुतमिति व्युद्भ्रान्तचित्तेऽसुरेविस्फूर्ज्जद्धवलोग्ररोमविकसद्वर्ष्मा समाजृम्भथा: ॥२॥,द,थ,आ,25,2,255
तप्तस्वर्णसवर्णघूर्णदतिरूक्षाक्षं सटाकेसर-प्रोत्कम्पप्रनिकुम्बितांबरमहो जीयात्तवेदं वपु: ।व्यात्तव्याप्तमहादरीसखमुखं खड्गोग्रवल्गन्महा-जिह्वानिर्गमदृश्यमानसुमहादंष्ट्रायुगोड्डामरम् ॥३॥,त,र,अ,25,3,256
उत्सर्पद्वलिभङ्गभीषणहनु ह्रस्वस्थवीयस्तर-ग्रीवं पीवरदोश्शतोद्गतनखक्रूरांशुदूरोल्बणम् ।व्योमोल्लङ्घि घनाघनोपमघनप्रध्वाननिर्धावित-स्पर्धालुप्रकरं नमामि भवतस्तन्नारसिंहं वपु: ॥४॥,उ,प,उ,25,4,257
नूनं विष्णुरयं निहन्म्यमुमिति भ्राम्यद्गदाभीषणंदैत्येन्द्रं समुपाद्रवन्तमधृथा दोर्भ्यां पृथुभ्याममुम् ।वीरो निर्गलितोऽथ खड्गफलकौ गृह्णन्विचित्रश्रमान्व्यावृण्वन् पुनरापपात भुवनग्रासोद्यतं त्वामहो ॥५॥,न,ह,ओ,25,5,258
भ्राम्यन्तं दितिजाधमं पुनरपि प्रोद्गृह्य दोर्भ्यां जवात्द्वारेऽथोरुयुगे निपात्य नखरान् व्युत्खाय वक्षोभुवि ।निर्भिन्दन्नधिगर्भनिर्भरगलद्रक्ताम्बु बद्धोत्सवंपायं पायमुदैरयो बहु जगत्संहारिसिंहारवान् ॥६॥,भ,व,आ,25,6,259
त्यक्त्वा तं हतमाशु रक्तलहरीसिक्तोन्नमद्वर्ष्मणिप्रत्युत्पत्य समस्तदैत्यपटलीं चाखाद्यमाने त्वयि ।भ्राम्यद्भूमि विकम्पिताम्बुधिकुलं व्यालोलशैलोत्करंप्रोत्सर्पत्खचरं चराचरमहो दु:स्थामवस्थां दधौ ॥७॥,त,ध,औ,25,7,260
तावन्मांसवपाकरालवपुषं घोरान्त्रमालाधरंत्वां मध्येसभमिद्धकोपमुषितं दुर्वारगुर्वारवम् ।अभ्येतुं न शशाक कोपि भुवने दूरे स्थिता भीरव:सर्वे शर्वविरिञ्चवासवमुखा: प्रत्येकमस्तोषत ॥८॥,त,त,अ,25,8,261
भूयोऽप्यक्षतरोषधाम्नि भवति ब्रह्माज्ञया बालकेप्रह्लादे पदयोर्नमत्यपभये कारुण्यभाराकुल: ।शान्तस्त्वं करमस्य मूर्ध्नि समधा: स्तोत्रैरथोद्गायत-स्तस्याकामधियोऽपि तेनिथ वरं लोकाय चानुग्रहम् ॥९॥,भ,ह,अ,25,9,262
एवं नाटितरौद्रचेष्टित विभो श्रीतापनीयाभिध-श्रुत्यन्तस्फ़ुटगीतसर्वमहिमन्नत्यन्तशुद्धाकृते ।तत्तादृङ्निखिलोत्तरं पुनरहो कस्त्वां परो लङ्घयेत्प्रह्लादप्रिय हे मरुत्पुरपते सर्वामयात्पाहि माम् ॥१०॥,ए,म,आ,25,10,263
इन्द्रद्युम्न: पाण्ड्यखण्डाधिराज-स्त्वद्भक्तात्मा चन्दनाद्रौ कदाचित् ।त्वत् सेवायां मग्नधीरालुलोकेनैवागस्त्यं प्राप्तमातिथ्यकामम् ॥१॥,इ,म,अ,26,1,264
कुम्भोद्भूति: संभृतक्रोधभार:स्तब्धात्मा त्वं हस्तिभूयं भजेति ।शप्त्वाऽथैनं प्रत्यगात् सोऽपि लेभेहस्तीन्द्रत्वं त्वत्स्मृतिव्यक्तिधन्यम् ॥२॥,क,य,अ,26,2,265
दग्धाम्भोधेर्मध्यभाजि त्रिकूटेक्रीडञ्छैले यूथपोऽयं वशाभि: ।सर्वान् जन्तूनत्यवर्तिष्ट शक्त्यात्वद्भक्तानां कुत्र नोत्कर्षलाभ: ॥३॥,द,भ,अ,26,3,266
स्वेन स्थेम्ना दिव्यदेशत्वशक्त्यासोऽयं खेदानप्रजानन् कदाचित् ।शैलप्रान्ते घर्मतान्त: सरस्यांयूथैस्सार्धं त्वत्प्रणुन्नोऽभिरेमे ॥४॥,स,म,ए,26,4,267
हूहूस्तावद्देवलस्यापि शापात्ग्राहीभूतस्तज्जले बर्तमान: ।जग्राहैनं हस्तिनं पाददेशेशान्त्यर्थं हि श्रान्तिदोऽसि स्वकानाम् ॥५॥,ह,न,आ,26,5,268
त्वत्सेवाया वैभवात् दुर्निरोधंयुध्यन्तं तं वत्सराणां सहस्रम् ।प्राप्ते काले त्वत्पदैकाग्र्यसिध्यैनक्राक्रान्तं हस्तिवर्यं व्यधास्त्वम् ॥६॥,त,व,अ,26,6,269
आर्तिव्यक्तप्राक्तनज्ञानभक्ति:शुण्डोत्क्षिप्तै: पुण्डरीकै: समर्चन् ।पूर्वाभ्यस्तं निर्विशेषात्मनिष्ठंस्तोत्रं श्रेष्ठं सोऽन्वगादीत् परात्मन् ॥७॥,आ,म,अ,26,7,270
श्रुत्वा स्तोत्रं निर्गुणस्थं समस्तंब्रह्मेशाद्यैर्नाहमित्यप्रयाते ।सर्वात्मा त्वं भूरिकारुण्यवेगात्तार्क्ष्यारूढ: प्रेक्षितोऽभू: पुरस्तात् ॥८॥,श,त,आ,26,8,271
हस्तीन्द्रं तं हस्तपद्मेन धृत्वाचक्रेण त्वं नक्रवर्यं व्यदारी: ।गन्धर्वेऽस्मिन् मुक्तशापे स हस्तीत्वत्सारूप्यं प्राप्य देदीप्यते स्म ॥९॥,ह,म,अ,26,9,272
एतद्वृत्तं त्वां च मां च प्रगे योगायेत्सोऽयं भूयसे श्रेयसे स्यात् ।इत्युक्त्वैनं तेन सार्धं गतस्त्वंधिष्ण्यं विष्णो पाहि वातालयेश ॥१०॥,ए,श,अ,26,10,273
दर्वासास्सुरवनिताप्तदिव्यमाल्यंशक्राय स्वयमुपदाय तत्र भूय: ।नागेन्द्रप्रतिमृदिते शशाप शक्रंका क्षान्तिस्त्वदितरदेवतांशजानाम् ॥१॥,द,न,आ,27,1,274
शापेन प्रथितजरेऽथ निर्जरेन्द्रेदेवेष्वप्यसुरजितेषु निष्प्रभेषु ।शर्वाद्या: कमलजमेत्य सर्वदेवानिर्वाणप्रभव समं भवन्तमापु: ॥२॥,श,प,उ,27,2,275
ब्रह्माद्यै: स्तुतमहिमा चिरं तदानींप्रादुष्षन् वरद पुर: परेण धाम्ना ।हे देवा दितिजकुलैर्विधाय सन्धिंपीयूषं परिमथतेति पर्यशास्त्वम् ॥३॥,ब,व,अ,27,3,276
सन्धानं कृतवति दानवै: सुरौघेमन्थानं नयति मदेन मन्दराद्रिम् ।भ्रष्टेऽस्मिन् बदरमिवोद्वहन् खगेन्द्रेसद्यस्त्वं विनिहितवान् पय:पयोधौ ॥४॥,स,ध,औ,27,4,277
आधाय द्रुतमथ वासुकिं वरत्रांपाथोधौ विनिहितसर्वबीजजाले ।प्रारब्धे मथनविधौ सुरासुरैस्तै-र्व्याजात्त्वं भुजगमुखेऽकरोस्सुरारीन् ॥५॥,आ,र,ई,27,5,278
क्षुब्धाद्रौ क्षुभितजलोदरे तदानींदुग्धाब्धौ गुरुतरभारतो निमग्ने ।देवेषु व्यथिततमेषु तत्प्रियैषीप्राणैषी: कमठतनुं कठोरपृष्ठाम् ॥६॥,क,ठ,आ,27,6,279
वज्रातिस्थिरतरकर्परेण विष्णोविस्तारात्परिगतलक्षयोजनेन ।अम्भोधे: कुहरगतेन वर्ष्मणा त्वंनिर्मग्नं क्षितिधरनाथमुन्निनेथ ॥७॥,व,थ,अ,27,7,280
उन्मग्ने झटिति तदा धराधरेन्द्रेनिर्मेथुर्दृढमिह सम्मदेन सर्वे ।आविश्य द्वितयगणेऽपि सर्पराजेवैवश्यं परिशमयन्नवीवृधस्तान् ॥८॥,उ,त,आ,27,8,281
उद्दामभ्रमणजवोन्नमद्गिरीन्द्र-न्यस्तैकस्थिरतरहस्तपङ्कजं त्वाम् ।अभ्रान्ते विधिगिरिशादय: प्रमोदा-दुद्भ्रान्ता नुनुवुरुपात्तपुष्पवर्षा: ॥९॥,उ,ष,आ,27,9,282
दैत्यौघे भुजगमुखानिलेन तप्तेतेनैव त्रिदशकुलेऽपि किञ्चिदार्ते ।कारुण्यात्तव किल देव वारिवाहा:प्रावर्षन्नमरगणान्न दैत्यसङ्घान् ॥१०॥,द,घ,आ,27,10,283
उद्भ्राम्यद्बहुतिमिनक्रचक्रवालेतत्राब्धौ चिरमथितेऽपि निर्विकारे ।एकस्त्वं करयुगकृष्टसर्पराज:संराजन् पवनपुरेश पाहि रोगात् ॥११॥,उ,ग,आ,27,11,284
गरलं तरलानलं पुरस्ता-ज्जलधेरुद्विजगाल कालकूटम् ।अमरस्तुतिवादमोदनिघ्नोगिरिशस्तन्निपपौ भवत्प्रियार्थम् ॥१॥,ग,थ,अ,28,1,285
विमथत्सु सुरासुरेषु जातासुरभिस्तामृषिषु न्यधास्त्रिधामन् ।हयरत्नमभूदथेभरत्नंद्युतरुश्चाप्सरस: सुरेषु तानि ॥२॥,व,न,इ,28,2,286
जगदीश भवत्परा तदानींकमनीया कमला बभूव देवी ।अमलामवलोक्य यां विलोल:सकलोऽपि स्पृहयाम्बभूव लोक: ॥३॥,ज,क,अ,28,3,287
त्वयि दत्तहृदे तदैव देव्यैत्रिदशेन्द्रो मणिपीठिकां व्यतारीत् ।सकलोपहृताभिषेचनीयै:ऋषयस्तां श्रुतिगीर्भिरभ्यषिञ्चन् ॥४॥,त,च,अ,28,4,288
अभिषेकजलानुपातिमुग्ध-त्वदपाङ्गैरवभूषिताङ्गवल्लीम् ।मणिकुण्डलपीतचेलहार-प्रमुखैस्ताममरादयोऽन्वभूषन् ॥५॥,अ,ष,अ,28,5,289
वरणस्रजमात्तभृङ्गनादांदधती सा कुचकुम्भमन्दयाना ।पदशिञ्जितमञ्जुनूपुरा त्वांकलितव्रीलविलासमाससाद ॥६॥,व,द,अ,28,6,290
गिरिशद्रुहिणादिसर्वदेवान्गुणभाजोऽप्यविमुक्तदोषलेशान् ।अवमृश्य सदैव सर्वरम्येनिहिता त्वय्यनयाऽपि दिव्यमाला ॥७॥,ग,ल,आ,28,7,291
उरसा तरसा ममानिथैनांभुवनानां जननीमनन्यभावाम् ।त्वदुरोविलसत्तदीक्षणश्री-परिवृष्ट्या परिपुष्टमास विश्वम् ॥८॥,उ,व,अ,28,8,292
अतिमोहनविभ्रमा तदानींमदयन्ती खलु वारुणी निरागात् ।तमस: पदवीमदास्त्वमेना-मतिसम्माननया महासुरेभ्य: ॥९॥,अ,य,अ,28,9,293
तरुणाम्बुदसुन्दरस्तदा त्वंननु धन्वन्तरिरुत्थितोऽम्बुराशे: ।अमृतं कलशे वहन् कराभ्या-मखिलार्तिं हर मारुतालयेश ॥१०॥,त,श,अ,28,10,294
उद्गच्छतस्तव करादमृतं हरत्सुदैत्येषु तानशरणाननुनीय देवान् ।सद्यस्तिरोदधिथ देव भवत्प्रभावा-दुद्यत्स्वयूथ्यकलहा दितिजा बभूवु: ॥१॥,उ,व,उ,29,1,295
श्यामां रुचाऽपि वयसाऽपि तनुं तदानींप्राप्तोऽसि तुङ्गकुचमण्डलभंगुरां त्वम् ।पीयूषकुम्भकलहं परिमुच्य सर्वेतृष्णाकुला: प्रतिययुस्त्वदुरोजकुम्भे ॥२॥,श,भ,ए,29,2,296
का त्वं मृगाक्षि विभजस्व सुधामिमामि-त्यारूढरागविवशानभियाचतोऽमून् ।विश्वस्यते मयि कथं कुलटाऽस्मि दैत्याइत्यालपन्नपि सुविश्वसितानतानी: ॥३॥,क,न,ई,29,3,297
मोदात् सुधाकलशमेषु ददत्सु सा त्वंदुश्चेष्टितं मम सहध्वमिति ब्रुवाणा ।पङ्क्तिप्रभेदविनिवेशितदेवदैत्यालीलाविलासगतिभि: समदा: सुधां ताम् ॥४॥,म,त,आ,29,4,298
अस्मास्वियं प्रणयिणीत्यसुरेषु तेषुजोषं स्थितेष्वथ समाप्य सुधां सुरेषु ।त्वं भक्तलोकवशगो निजरूपमेत्यस्वर्भानुमर्धपरिपीतसुधं व्यलावी: ॥५॥,अ,व,ई,29,5,299
त्वत्त: सुधाहरणयोग्यफलं परेषुदत्वा गते त्वयि सुरै: खलु ते व्यगृह्णन् ।घोरेऽथ मूर्छति रणे बलिदैत्यमाया-व्यामोहिते सुरगणे त्वमिहाविरासी: ॥६॥,त,स,ई,29,6,300
त्वं कालनेमिमथ मालिमुखाञ्जघन्थशक्रो जघान बलिजम्भवलान् सपाकान् ।शुष्कार्द्रदुष्करवधे नमुचौ च लूनेफेनेन नारदगिरा न्यरुणो रणं त्वं ॥७॥,त,व,अ,29,7,301
योषावपुर्दनुजमोहनमाहितं तेश्रुत्वा विलोकनकुतूहलवान् महेश: ।भूतैस्समं गिरिजया च गत: पदं तेस्तुत्वाऽब्रवीदभिमतं त्वमथो तिरोधा: ॥८॥,य,ध,आ,29,8,302
आरामसीमनि च कन्दुकघातलीला-लोलायमाननयनां कमनीं मनोज्ञाम् ।त्वामेष वीक्ष्य विगलद्वसनां मनोभू-वेगादनङ्गरिपुरङ्ग समालिलिङ्ग ॥९॥,आ,ग,अ,29,9,303
भूयोऽपि विद्रुतवतीमुपधाव्य देवोवीर्यप्रमोक्षविकसत्परमार्थबोध: ।त्वन्मानितस्तव महत्त्वमुवाच देव्यैतत्तादृशस्त्वमव वातनिकेतनाथ ॥१०॥,भ,थ,अ,29,10,304
शक्रेण संयति हतोऽपि बलिर्महात्माशुक्रेण जीविततनु: क्रतुवर्धितोष्मा ।विक्रान्तिमान् भयनिलीनसुरां त्रिलोकींचक्रे वशे स तव चक्रमुखादभीत: ॥१॥,श,त,अ,30,1,305
पुत्रार्तिदर्शनवशाददितिर्विषण्णातं काश्यपं निजपतिं शरणं प्रपन्ना ।त्वत्पूजनं तदुदितं हि पयोव्रताख्यंसा द्वादशाहमचरत्त्वयि भक्तिपूर्णा ॥२॥,प,ण,आ,30,2,306
तस्यावधौ त्वयि निलीनमतेरमुष्या:श्यामश्चतुर्भुजवपु: स्वयमाविरासी: ।नम्रां च तामिह भवत्तनयो भवेयंगोप्यं मदीक्षणमिति प्रलपन्नयासी: ॥३॥,त,स,ई,30,3,307
त्वं काश्यपे तपसि सन्निदधत्तदानींप्राप्तोऽसि गर्भमदिते: प्रणुतो विधात्रा ।प्रासूत च प्रकटवैष्णवदिव्यरूपंसा द्वादशीश्रवणपुण्यदिने भवन्तं ॥४॥,त,त,अ,30,4,308
पुण्याश्रमं तमभिवर्षति पुष्पवर्षै-र्हर्षाकुले सुरगणे कृततूर्यघोषे ।बध्वाऽञ्जलिं जय जयेति नुत: पितृभ्यांत्वं तत्क्षणे पटुतमं वटुरूपमाधा: ॥५॥,प,ध,आ,30,5,309
तावत्प्रजापतिमुखैरुपनीय मौञ्जी-दण्डाजिनाक्षवलयादिभिरर्च्यमान: ।देदीप्यमानवपुरीश कृताग्निकार्य-स्त्वं प्रास्थिथा बलिगृहं प्रकृताश्वमेधम् ॥६॥,त,ध,अ,30,6,310
गात्रेण भाविमहिमोचितगौरवं प्रा-ग्व्यावृण्वतेव धरणीं चलयन्नायासी: ।छत्रं परोष्मतिरणार्थमिवादधानोदण्डं च दानवजनेष्विव सन्निधातुम् ॥७॥,ग,त,उ,30,7,311
तां नर्मदोत्तरतटे हयमेधशाला-मासेदुषि त्वयि रुचा तव रुद्धनेत्रै: ।भास्वान् किमेष दहनो नु सनत्कुमारोयोगी नु कोऽयमिति शुक्रमुखैश्शशङ्के ॥८॥,त,क,ए,30,8,312
आनीतमाशु भृगुभिर्महसाऽभिभूतै-स्त्वां रम्यरूपमसुर: पुलकावृताङ्ग: ।भक्त्या समेत्य सुकृती परिणिज्य पादौतत्तोयमन्वधृत मूर्धनि तीर्थतीर्थम् ॥९॥,आ,थ,अ,30,9,313
प्रह्लादवंशजतया क्रतुभिर्द्विजेषुविश्वासतो नु तदिदं दितिजोऽपि लेभे ।यत्ते पदाम्बु गिरिशस्य शिरोभिलाल्यंस त्वं विभो गुरुपुरालय पालयेथा: ॥१०॥,प,थ,आ,30,10,314
प्रीत्या दैत्यस्तव तनुमह:प्रेक्षणात् सर्वथाऽपित्वामाराध्यन्नजित रचयन्नञ्जलिं सञ्जगाद ।मत्त: किं ते समभिलषितं विप्रसूनो वद त्वंवित्तं भक्तं भवनमवनीं वाऽपि सर्वं प्रदास्ये ॥१॥,प,य,ए,31,1,315
तामीक्षणां बलिगिरमुपाकर्ण्य कारुण्यपूर्णोऽ-प्यस्योत्सेकं शमयितुमना दैत्यवंशं प्रशंसन् ।भूमिं पादत्रयपरिमितां प्रार्थयामासिथ त्वंसर्वं देहीति तु निगदिते कस्य हास्यं न वा स्यात् ॥२॥,त,य,आ,31,2,316
विश्वेशं मां त्रिपदमिह किं याचसे बालिशस्त्वंसर्वां भूमिं वृणु किममुनेत्यालपत्त्वां स दृप्यन् ।यस्माद्दर्पात् त्रिपदपरिपूर्त्यक्षम: क्षेपवादान्बन्धं चासावगमदतदर्होऽपि गाढोपशान्त्यै ॥३॥,व,य,ऐ,31,3,317
पादत्रय्या यदि न मुदितो विष्टपैर्नापि तुष्ये-दित्युक्तेऽस्मिन् वरद भवते दातुकामेऽथ तोयम् ।दैत्याचार्यस्तव खलु परीक्षार्थिन: प्रेरणात्तंमा मा देयं हरिरयमिति व्यक्तमेवाबभाषे ॥४॥,प,ष,ए,31,4,318
याचत्येवं यदि स भगवान् पूर्णकामोऽस्मि सोऽहंदास्याम्येव स्थिरमिति वदन् काव्यशप्तोऽपि दैत्य: ।विन्ध्यावल्या निजदयितया दत्तपाद्याय तुभ्यंचित्रं चित्रं सकलमपि स प्रार्पयत्तोयपूर्वम् ॥५॥,य,व,अ,31,5,319
निस्सन्देहं दितिकुलपतौ त्वय्यशेषार्पणं तद्-व्यातन्वाने मुमुचु:-ऋषय: सामरा: पुष्पवर्षम् ।दिव्यं रूपं तव च तदिदं पश्यतां विश्वभाजा-मुच्चैरुच्चैरवृधदवधीकृत्य विश्वाण्डभाण्डम् ॥६॥,न,ड,अ,31,6,320
त्वत्पादाग्रं निजपदगतं पुण्डरीकोद्भवोऽसौकुण्डीतोयैरसिचदपुनाद्यज्जलं विश्वलोकान् ।हर्षोत्कर्षात् सुबहु ननृते खेचरैरुत्सवेऽस्मिन्भेरीं निघ्नन् भुवनमचरज्जाम्बवान् भक्तिशाली ॥७॥,त,ल,ई,31,7,321
तावद्दैत्यास्त्वनुमतिमृते भर्तुरारब्धयुद्धादेवोपेतैर्भवदनुचरैस्सङ्गता भङ्गमापन् ।कालात्माऽयं वसति पुरतो यद्वशात् प्राग्जिता: स्म:किं वो युद्धैरिति बलिगिरा तेऽथ पातालमापु: ॥८॥,त,प,उ,31,8,322
पाशैर्बद्धं पतगपतिना दैत्यमुच्चैरवादी-स्तार्त्तीयीकं दिश मम पदं किं न विश्वेश्वरोऽसि ।पादं मूर्ध्नि प्रणय भगवन्नित्यकम्पं वदन्तंप्रह्लाद्स्तं स्वयमुपगतो मानयन्नस्तवीत्त्वाम् ॥९॥,प,व,आ,31,9,323
दर्पोच्छित्त्यै विहितमखिलं दैत्य सिद्धोऽसि पुण्यै-र्लोकस्तेऽस्तु त्रिदिवविजयी वासवत्वं च पश्चात् ।मत्सायुज्यं भज च पुनरित्यन्वगृह्णा बलिं तंविप्रैस्सन्तानितमखवर: पाहि वातालयेश ॥१०॥,द,श,अ,31,10,324
पुरा हयग्रीवमहासुरेण षष्ठान्तरान्तोद्यदकाण्डकल्पे ।निद्रोन्मुखब्रह्ममुखात् हृतेषु वेदेष्वधित्स: किल मत्स्यरूपम् ॥१॥,प,प,अ,32,1,325
सत्यव्रतस्य द्रमिलाधिभर्तुर्नदीजले तर्पयतस्तदानीम् ।कराञ्जलौ सञ्ज्वलिताकृतिस्त्वमदृश्यथा: कश्चन बालमीन: ॥२॥,स,न,अ,32,2,326
क्षिप्तं जले त्वां चकितं विलोक्य निन्येऽम्बुपात्रेण मुनि: स्वगेहम् ।स्वल्पैरहोभि: कलशीं च कूपं वापीं सरश्चानशिषे विभो त्वम् ॥३॥,क,व,अ,32,3,327
योगप्रभावाद्भवदाज्ञयैव नीतस्ततस्त्वं मुनिना पयोधिम् ।पृष्टोऽमुना कल्पदिदृक्षुमेनं सप्ताहमास्वेति वदन्नयासी: ॥४॥,य,स,ई,32,4,328
प्राप्ते त्वदुक्तेऽहनि वारिधारापरिप्लुते भूमितले मुनीन्द्र: ।सप्तर्षिभि: सार्धमपारवारिण्युद्घूर्णमान: शरणं ययौ त्वाम् ॥५॥,प,व,आ,32,5,329
धरां त्वदादेशकरीमवाप्तां नौरूपिणीमारुरुहुस्तदा तेतत्कम्पकम्प्रेषु च तेषु भूयस्त्वमम्बुधेराविरभूर्महीयान् ॥६॥,ध,य,आ,32,6,330
झषाकृतिं योजनलक्षदीर्घां दधानमुच्चैस्तरतेजसं त्वाम् ।निरीक्ष्य तुष्टा मुनयस्त्वदुक्त्या त्वत्तुङ्गशृङ्गे तरणिं बबन्धु: ॥७॥,झ,ध,उ,32,7,331
आकृष्टनौको मुनिमण्डलाय प्रदर्शयन् विश्वजगद्विभागान् ।संस्तूयमानो नृवरेण तेन ज्ञानं परं चोपदिशन्नचारी: ॥८॥,आ,र,ई,32,8,332
कल्पावधौ सप्तमुनीन् पुरोवत् प्रस्थाप्य सत्यव्रतभूमिपं तम् ।वैवस्वताख्यं मनुमादधान: क्रोधाद् हयग्रीवमभिद्रुतोऽभू: ॥९॥,क,भ,ऊ,32,9,333
स्वतुङ्गशृङ्गक्षतवक्षसं तं निपात्य दैत्यं निगमान् गृहीत्वा ।विरिञ्चये प्रीतहृदे ददान: प्रभञ्जनागारपते प्रपाया: ॥१०॥,स,य,आ,32,10,334
वैवस्वताख्यमनुपुत्रनभागजात-नाभागनामकनरेन्द्रसुतोऽम्बरीष: ।सप्तार्णवावृतमहीदयितोऽपि रेमेत्वत्सङ्गिषु त्वयि च मग्नमनास्सदैव ॥१॥,व,व,अ,33,1,335
त्वत्प्रीतये सकलमेव वितन्वतोऽस्यभक्त्यैव देव नचिरादभृथा: प्रसादम् ।येनास्य याचनमृतेऽप्यभिरक्षणार्थंचक्रं भवान् प्रविततार सहस्रधारम् ॥२॥,त,र,अ,33,2,336
स द्वादशीव्रतमथो भवदर्चनार्थंवर्षं दधौ मधुवने यमुनोपकण्ठे ।पत्न्या समं सुमनसा महतीं वितन्वन्पूजां द्विजेषु विसृजन् पशुषष्टिकोटिम् ॥३॥,स,ट,इ,33,3,337
तत्राथ पारणदिने भवदर्चनान्तेदुर्वाससाऽस्य मुनिना भवनं प्रपेदे ।भोक्तुं वृतश्चस नृपेण परार्तिशीलोमन्दं जगाम यमुनां नियमान्विधास्यन् ॥४॥,त,य,अ,33,4,338
राज्ञाऽथ पारणमुहूर्तसमाप्तिखेदा-द्वारैव पारणमकारि भवत्परेण ।प्राप्तो मुनिस्तदथ दिव्यदृशा विजानन्क्षिप्यन् क्रुधोद्धृतजटो विततान कृत्याम् ॥५॥,र,य,आ,33,5,339
कृत्यां च तामसिधरां भुवनं दहन्ती-मग्रेऽभिवीक्ष्यनृपतिर्न पदाच्चकम्पे ।त्वद्भक्तबाधमभिवीक्ष्य सुदर्शनं तेकृत्यानलं शलभयन् मुनिमन्वधावीत् ॥६॥,क,व,ई,33,6,340
धावन्नशेषभुवनेषु भिया स पश्यन्विश्वत्र चक्रमपि ते गतवान् विरिञ्चम् ।क: कालचक्रमतिलङ्घयतीत्यपास्त:शर्वं ययौ स च भवन्तमवन्दतैव ॥७॥,ध,व,अ,33,7,341
भूयो भवन्निलयमेत्य मुनिं नमन्तंप्रोचे भवानहमृषे ननु भक्तदास: ।ज्ञानं तपश्च विनयान्वितमेव मान्यंयाह्यम्बरीषपदमेव भजेति भूमन् ॥८॥,भ,म,अ,33,8,342
तावत्समेत्य मुनिना स गृहीतपादोराजाऽपसृत्य भवदस्त्रमसावनौषीत् ।चक्रे गते मुनिरदादखिलाशिषोऽस्मैत्वद्भक्तिमागसि कृतेऽपि कृपां च शंसन् ॥९॥,त,स,अ,33,9,343
राजा प्रतीक्ष्य मुनिमेकसमामनाश्वान्सम्भोज्य साधु तमृषिं विसृजन् प्रसन्नम् ।भुक्त्वा स्वयं त्वयि ततोऽपि दृढं रतोऽभू-त्सायुज्यमाप च स मां पवनेश पाया: ॥१०॥,र,य,आ,33,10,344
गीर्वाणैरर्थ्यमानो दशमुखनिधनं कोसलेष्वृश्यशृङ्गेपुत्रीयामिष्टिमिष्ट्वा ददुषि दशरथक्ष्माभृते पायसाग्र्यम् ।तद्भुक्त्या तत्पुरन्ध्रीष्वपि तिसृषु समं जातगर्भासु जातोरामस्त्वं लक्ष्मणेन स्वयमथ भरतेनापि शत्रुघ्ननाम्ना ॥१॥,ग,न,आ,34,1,345
